idx,Ni,Al,Co,Cr,Mo,Nb,Ta,Ti,W,ML,Exp,CALPHAD
1,48,4,8,10,4,10,6,10,0,1129.02,1202.9,1128.971
2,36,4,16,10,10,8,8,8,0,1144.66,1190,1145.676
3,58,4,0,10,0,4,12,12,0,1161.17,1195,1163.031
4,50,0,8,14,2,12,6,6,2,1178.31,1184.4,1178.695
5,40,0,12,18,6,2,12,10,0,1193.14,1209.5,1188.574
6,30,0,20,14,8,12,2,10,4,1211.8,1213,1210.212
7,34,0,24,18,2,10,2,8,2,1240.05,1176,1239.322
8,60,4,4,10,4,6,2,6,4,1256.16,1207.2,1256.006
9,26,8,16,18,4,6,10,12,0,1271.28,1177.4,1271.871
10,34,8,12,18,0,6,6,10,6,1293.17,1171.1,1296.565
11,46,6,4,18,0,0,12,12,2,1306.26,1183.2,1305.479
12,38,6,12,14,0,10,0,12,8,1331.75,1149.5,1333.09
13,32,4,16,18,2,0,6,12,10,1347.9,1174,1349.501
14,44,4,4,14,4,6,6,12,6,1354.65,1392.1,1355.407
15,42,0,0,18,4,12,10,6,8,1386.26,1232.1,1384.762
16,44,4,0,18,8,10,2,8,6,1397.82,1167.1,1399.551
17,44,4,4,14,10,0,10,6,8,1410.17,1199.7,1408.407
18,54,6,0,10,2,6,2,12,8,1432.11,1190.8,1431.752
19,36,4,4,14,10,6,10,10,6,1455.71,1168.1,1456.786
20,46,6,4,14,8,0,4,8,10,1466.56,1193.8,1468.276
21,40,8,0,10,4,10,10,12,6,1485.66,1402.7,1492.099
22,42,4,0,10,2,12,10,12,8,1511.52,1323.1,1511.954
23,46,6,0,10,4,12,6,6,10,1516.72,1289.9,1520.784
24,40,4,0,14,10,10,6,8,8,1535.49,1187.4,1536.96
25,42,6,0,14,4,8,4,12,10,1557.4,1186.4,1559.797
26,36,8,0,18,6,2,8,12,10,1583.28,1383.3,1586.406
27,40,8,0,10,10,4,12,8,8,1597.71,1353.8,1600.826
28,36,6,0,18,10,2,6,12,10,1604.94,1363.7,1607.952
29,40,8,0,10,8,4,12,8,10,1631.51,1364.5,1635.658
30,40,8,0,10,10,8,6,8,10,1642.78,1352.7,1647.688
